Code,TIME,Renewable Supply %
BWA,2009,24.77
BWA,2010,23.04
BWA,2011,24.43
BWA,2012,21.94
BWA,2013,21.14
BWA,2014,19.67
BWA,2015,20.04
BWA,2016,21.2
BWA,2017,20.26
BRA,2008,44.36
BRA,2009,45.71
BRA,2010,43.84
BRA,2011,42.7
BRA,2012,40.88
BRA,2013,39.5
BRA,2014,38.7
BRA,2015,40.5
BRA,2016,42.64
BRA,2017,42.34
BRN,2008,0
BRN,2009,0
BRN,2010,0
BRN,2011,0
BRN,2012,0
BRN,2013,0.01
BRN,2014,0
BRN,2015,0.01
BRN,2016,0
BRN,2017,0
BGR,2008,5.35
BGR,2009,6.36
BGR,2010,8.19
BGR,2011,7.08
BGR,2012,8.85
BGR,2013,10.7
BGR,2014,9.99
BGR,2015,10.69
BGR,2016,10.7
BGR,2017,9.92
KHM,2008,66.16
KHM,2009,70.86
KHM,2010,67.94
KHM,2011,68.46
KHM,2012,67.91
KHM,2013,68.18
KHM,2014,66.93
KHM,2015,62.4
KHM,2016,60.23
KHM,2017,58.11
CMR,2008,72.38
CMR,2009,69.11
CMR,2010,68.84
CMR,2011,69.71
CMR,2012,69.55
CMR,2013,75.06
CMR,2014,69.67
CMR,2015,72.19
CMR,2016,72.08
CMR,2017,74.46
CHL,2008,24.49
CHL,2009,26.14
CHL,2010,22.13
CHL,2011,23.14
CHL,2012,29.95
CHL,2013,31.43
CHL,2014,27.5
CHL,2015,27.26
CHL,2016,27.11
CHL,2017,27.84
CHN,2008,9.49
CHN,2009,8.91
CHN,2010,8.15
CHN,2011,7.46
CHN,2012,7.69
CHN,2013,7.76
CHN,2014,8.19
CHN,2015,8.5
CHN,2016,8.97
CHN,2017,9.07
COL,2008,25.43
COL,2009,22.99
COL,2010,23.26
COL,2011,24.7
COL,2012,24.64
COL,2013,25.39
COL,2014,25.05
COL,2015,24.64
COL,2016,23.09
COL,2017,26.24
COG,2008,61.73
COG,2009,57.29
COG,2010,56.52
COG,2011,63.49
COG,2012,58.62
COG,2013,57.15
COG,2014,59.17
COG,2015,57.62
COG,2016,57.03
COG,2017,58.89
CRI,2008,50.06
CRI,2009,51.19
CRI,2010,51.59
CRI,2011,50.53
CRI,2012,51.93
CRI,2013,52.11
CRI,2014,51.7
CRI,2015,52.79
CRI,2016,50.41
CRI,2017,48.01
CIV,2008,75.89
CIV,2009,77.73
CIV,2010,71.95
CIV,2011,74.87
CIV,2012,70.44
CIV,2013,66.9
CIV,2014,68.38
CIV,2015,65.71
CIV,2016,64.36
CIV,2017,61.69
HRV,2008,16.6
HRV,2009,19.25
HRV,2010,21.99
HRV,2011,18.6
HRV,2012,20.26
HRV,2013,24.65
HRV,2014,24.92
HRV,2015,23.34
HRV,2016,23.64
HRV,2017,21.65
CUB,2008,13.07
CUB,2009,13.94
CUB,2010,11.04
CUB,2011,13.13
CUB,2012,13.42
CUB,2013,13.54
CUB,2014,15.45
CUB,2015,15.49
CUB,2016,12.34
CUB,2017,15.75
CYP,2008,3.67
CYP,2009,3.96
CYP,2010,4.32
CYP,2011,5.1
CYP,2012,5.81
CYP,2013,6.95
CYP,2014,6.71
CYP,2015,7.27
CYP,2016,7.11
CYP,2017,7.5
PRK,2008,11.27
PRK,2009,13.71
PRK,2010,15.04
PRK,2011,19.93
PRK,2012,19.55
PRK,2013,26.01
PRK,2014,23.05
PRK,2015,25.04
PRK,2016,25.03
PRK,2017,14.02
COD,2008,97.21
COD,2009,97.61
COD,2010,97.25
COD,2011,96.36
COD,2012,96.92
COD,2013,95.62
COD,2014,94.32
COD,2015,96.99
COD,2016,97.9
COD,2017,97.38
DOM,2008,12.99
DOM,2009,13.16
DOM,2010,12.67
DOM,2011,12.29
DOM,2012,12.56
DOM,2013,12.9
DOM,2014,12.67
DOM,2015,11.02
DOM,2016,11.42
DOM,2017,13.26
ECU,2008,15.77
ECU,2009,10.95
ECU,2010,10.36
ECU,2011,11.68
ECU,2012,12.63
ECU,2013,10.95
ECU,2014,10.97
ECU,2015,11.32
ECU,2016,13.63
ECU,2017,15.94
EGY,2008,3.95
EGY,2009,3.72
EGY,2010,3.89
EGY,2011,3.76
EGY,2012,3.69
EGY,2013,3.83
EGY,2014,3.83
EGY,2015,3.92
EGY,2016,3.65
EGY,2017,3.46
SLV,2008,51.36
SLV,2009,52.23
SLV,2010,53.77
SLV,2011,52.36
SLV,2012,51.52
SLV,2013,51.71
SLV,2014,48.86
SLV,2015,45.74
SLV,2016,46.82
SLV,2017,49.94
ERI,2008,80.64
ERI,2009,77.8
ERI,2010,78.43
ERI,2011,78.08
ERI,2012,77.39
ERI,2013,77.15
ERI,2014,77.13
ERI,2015,77.12
ERI,2016,77.23
ERI,2017,76.64
EST,2008,11.77
EST,2009,14.73
EST,2010,15.03
EST,2011,14.85
EST,2012,15.6
EST,2013,13.97
EST,2014,14.85
EST,2015,16.59
EST,2016,16.14
EST,2017,18.61
ETH,2008,93.77
ETH,2009,93.87
ETH,2010,94.24
ETH,2011,93.73
ETH,2012,93.75
ETH,2013,92.93
ETH,2014,91.75
ETH,2015,91.97
ETH,2016,91.33
ETH,2017,90.76
GAB,2008,82.82
GAB,2009,83.43
GAB,2010,81.05
GAB,2011,73.68
GAB,2012,69.17
GAB,2013,77.01
GAB,2014,73.93
GAB,2015,74.65
GAB,2016,74.35
GAB,2017,75.76
GEO,2008,33.54
GEO,2009,34.35
GEO,2010,38.76
GEO,2011,28.33
GEO,2012,25.33
GEO,2013,30.99
GEO,2014,27.3
GEO,2015,24.69
GEO,2016,25.24
GEO,2017,24.62
GHA,2008,55.74
GHA,2009,54.17
GHA,2010,50.26
GHA,2011,50.63
GHA,2012,46.15
GHA,2013,47.65
GHA,2014,48.32
GHA,2015,43.93
GHA,2016,45.06
GHA,2017,47.46
GTM,2008,59.66
GTM,2009,60.96
GTM,2010,69.68
GTM,2011,69.37
GTM,2012,68.12
GTM,2013,67.33
GTM,2014,66.51
GTM,2015,62.73
GTM,2016,64.47
GTM,2017,64.64
HTI,2008,79.27
HTI,2009,80.71
HTI,2010,82.23
HTI,2011,82.04
HTI,2012,81.95
HTI,2013,81.31
HTI,2014,77.99
HTI,2015,75.85
HTI,2016,75.84
HTI,2017,75.86
HND,2008,46.03
HND,2009,47.88
